name,draft_year,draft_position,draft_age,height,weight,wingspan,pts,reb,ast,stl,blk,pf,to,g,mp,max_vertical,lane_agility,shuttle,3/4_sprint,standing_reach,fg%,3p%,3pa_rate,fta_rate,ft%,effective_fg%,true_shooting_%,usg%,ast/usg,ast/to,per,ortg,drtg,obpm,dbpm,bpm,ows/40,dws/40,ws/40,proj_nba_3p%,Peak DARKO,fgm,fga,3pm,3pa,ftm,fta,team_Mid-Major,team_Other,team_Power_6,Freshman,Sophomore,Junior,Senior,Other
Dario Saric,2014,12,20.19,82.0,220,,16.1,9.2,3.2,2.3,0.5,4.8,3.0,6.0,36.0,,,,,,0.5,0.333,0.288,0.269,0.929,0.548,0.597,,,1.08,,,,,,,,,,,0.6,6.0,11.9,1.1,3.4,3.0,3.2,0,1,0,0,0,0,0,1
Zach LaVine,2014,13,19.27,77.75,181,80.25,13.9,3.7,2.6,1.3,0.2,2.9,1.7,37.0,36.0,41.5,10.42,2.8,3.19,100.0,0.441,0.375,0.444,0.236,0.691,0.524,0.545,20.1,0.63,1.57,14.6,109.1,104.8,1.7,1.2,2.9,0.062,0.053,0.111,0.35,1.7,5.1,11.5,1.9,5.1,1.9,2.7,1,0,0,1,0,0,0,0
T.J. Warren,2014,14,20.78,80.25,220,82.25,25.3,7.3,1.2,1.8,0.6,2.8,2.4,35.0,36.0,35.5,11.1,3.04,3.26,104.0,0.525,0.267,0.178,0.347,0.69,0.548,0.574,35.5,0.24,0.48,31.3,116.6,103.6,9.2,1.6,10.8,0.152,0.055,0.21,0.329,,9.9,19.0,0.9,3.4,4.5,6.6,1,0,0,0,1,0,0,0
Adreian Payne,2014,15,23.32,81.75,239,88.0,21.1,9.3,1.7,0.6,1.2,3.3,2.6,31.0,36.0,,,,,109.0,0.503,0.423,0.294,0.39,0.79,0.565,0.607,28.9,0.35,0.65,25.1,116.5,97.6,5.5,2.0,7.5,0.124,0.078,0.198,0.364,-2.8,7.4,14.6,1.8,4.3,4.5,5.7,0,0,1,0,0,0,1,0
Jusuf Nurkić,2014,16,19.82,84.0,275,,20.7,7.8,1.4,1.6,3.0,8.1,5.3,15.0,36.0,,,,,,0.585,0.5,0.024,0.622,0.706,0.591,0.626,,,0.26,,,,,,,,,,0.321,2.7,7.5,12.8,0.2,0.3,5.6,7.9,0,1,0,0,0,0,0,1
James Young,2014,17,18.84,78.75,213,84.0,15.9,4.8,1.9,0.8,0.2,2.3,2.1,40.0,36.0,35.5,,,,104.0,0.407,0.349,0.522,0.393,0.706,0.498,0.536,23.4,0.46,0.89,16.6,114.8,104.3,4.2,1.9,6.1,0.093,0.052,0.145,0.358,-0.8,5.1,12.5,2.3,6.5,3.5,4.9,0,0,1,1,0,0,0,0
Tyler Ennis,2014,18,19.81,74.5,182,79.25,13.0,3.4,5.5,2.1,0.2,2.0,1.7,34.0,36.0,36.0,11.12,2.84,3.3,98.0,0.411,0.353,0.236,0.414,0.765,0.453,0.511,21.9,1.47,3.22,21.3,117.4,98.7,4.8,3.9,8.7,0.105,0.072,0.181,0.343,-1.1,4.4,10.7,0.9,2.5,3.4,4.4,0,0,1,1,0,0,0,0
Gary Harris,2014,19,19.76,76.5,205,78.75,18.7,4.5,3.0,2.0,0.5,2.3,1.9,35.0,36.0,,,,,96.0,0.429,0.352,0.505,0.312,0.81,0.518,0.561,26.8,0.63,1.57,22.5,116.9,99.3,6.6,3.7,10.3,0.117,0.071,0.187,0.377,0.9,6.2,14.5,2.6,7.3,3.7,4.5,0,0,1,0,1,0,0,0
Bruno Caboclo,2014,20,18.74,81.0,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.5,,,,,,,0,1,0,0,0,0,0,1
Mitch McGary,2014,21,22.03,82.0,255,,13.8,12.0,2.2,2.7,1.1,4.5,2.4,8.0,36.0,,,,,,0.545,0.0,0.036,0.436,0.667,0.545,0.572,22.5,0.56,0.92,26.2,116.3,91.3,3.7,4.9,8.6,0.101,0.101,0.202,0.313,-1.4,5.5,10.0,0.0,0.4,2.9,4.4,0,0,1,0,1,0,0,0
Jordan Adams,2014,22,19.94,76.75,209,82.0,20.8,6.4,2.8,3.2,0.2,2.6,1.8,36.0,36.0,29.5,12.13,3.05,3.5,102.0,0.485,0.356,0.34,0.441,0.836,0.545,0.603,26.5,0.55,1.56,28.3,125.1,96.9,7.4,4.1,11.5,0.155,0.081,0.237,0.366,0.5,6.9,14.3,1.7,4.9,5.3,6.3,1,0,0,0,1,0,0,0
Rodney Hood,2014,23,21.66,80.5,208,80.5,17.6,4.3,2.3,0.8,0.3,2.8,1.7,35.0,36.0,36.0,11.21,3.14,3.38,103.0,0.464,0.42,0.41,0.328,0.807,0.55,0.59,23.8,0.55,1.39,20.1,122.5,107.0,6.3,0.9,7.2,0.125,0.042,0.17,0.373,-0.4,6.0,12.9,2.2,5.3,3.4,4.2,0,0,1,0,1,0,0,0
Shabazz Napier,2014,24,22.93,73.0,175,75.25,18.5,6.0,5.0,1.9,0.3,2.2,2.9,40.0,36.0,37.5,11.6,3.13,3.2,93.0,0.429,0.405,0.433,0.48,0.87,0.517,0.591,27.5,1.12,1.71,25.5,118.9,94.9,7.5,4.5,12.0,0.14,0.088,0.225,0.381,0.4,5.5,12.7,2.2,5.5,5.3,6.1,1,0,0,0,0,0,1,0
Clint Capela,2014,25,20.08,82.0,240,,17.3,12.1,1.7,1.0,2.6,3.8,2.6,40.0,36.0,,,,,,0.679,0.0,0.004,0.359,0.553,0.679,0.665,,,0.64,,,,,,,,,,0.297,2.3,7.5,11.1,0.0,0.0,2.2,4.0,0,1,0,0,0,0,0,1
P.J. Hairston,2014,26,21.48,77.25,229,81.0,,,,,,,,,,37.0,11.12,,3.32,101.0,,,,,,,,,,,,,,,,,,,,,-2.2,,,,,,,0,1,0,0,0,0,0,1
Bogdan Bogdanović,2014,27,21.83,78.0,205,,16.1,3.3,3.4,1.0,0.6,3.3,1.9,9.0,36.0,,,,,,0.47,0.356,0.542,0.217,0.778,0.566,0.59,,,1.77,,,,,,,,,,0.369,2.4,5.8,12.3,2.4,6.7,2.1,2.7,0,1,0,0,0,0,0,1
C.J. Wilcox,2014,28,23.46,77.0,201,81.75,18.9,3.8,2.6,1.0,1.0,2.4,1.7,32.0,36.0,37.5,11.3,2.92,3.22,100.5,0.453,0.391,0.529,0.271,0.873,0.556,0.598,24.6,0.63,1.5,22.0,121.9,110.0,7.4,1.0,8.4,0.129,0.032,0.158,0.392,-1.2,6.4,14.0,2.9,7.4,3.3,3.8,0,0,1,0,0,0,1,0
Josh Huestis,2014,29,22.49,79.0,230,,11.4,8.4,1.2,0.6,2.0,2.2,1.2,36.0,36.0,,,,,,0.451,0.338,0.223,0.295,0.627,0.488,0.51,18.0,0.38,1.0,17.3,110.2,100.7,2.8,2.5,5.3,0.06,0.066,0.126,0.321,-1.1,4.4,9.8,0.7,2.2,1.8,2.9,0,0,1,0,0,0,1,0
Kyle Anderson,2014,30,20.74,80.5,230,86.75,15.9,9.5,7.0,1.9,0.8,1.8,3.3,36.0,36.0,,,,,107.5,0.48,0.483,0.154,0.493,0.737,0.517,0.566,24.1,1.42,2.12,24.7,113.4,95.4,6.3,4.5,10.9,0.104,0.087,0.187,0.344,1.9,5.4,11.3,0.8,1.7,4.1,5.6,1,0,0,0,1,0,0,0
Damien Inglis,2014,31,19.08,80.0,240,,10.7,8.4,2.4,1.4,0.3,2.8,2.8,27.0,36.0,,,,,,0.495,0.387,0.341,0.319,0.724,0.56,0.587,,,0.84,,,,,,,,,,0.341,-1.7,3.9,8.0,1.0,2.7,1.8,2.5,0,1,0,0,0,0,0,1
K.J. McDaniels,2014,32,21.35,78.0,196,83.25,18.2,7.6,1.7,1.2,3.0,2.4,2.5,36.0,36.0,37.0,12.71,3.2,3.1,102.0,0.459,0.304,0.303,0.402,0.842,0.505,0.566,29.1,0.44,0.69,28.4,114.4,90.8,7.4,5.6,12.9,0.119,0.102,0.221,0.357,-1.1,6.2,13.5,1.2,4.1,4.6,5.4,0,0,1,0,0,1,0,0
Joe Harris,2014,33,22.78,78.25,215,78.0,15.0,3.7,2.8,1.2,0.3,3.0,1.6,37.0,36.0,33.5,11.11,2.92,3.31,100.0,0.441,0.4,0.533,0.337,0.64,0.547,0.565,23.3,0.78,1.75,18.7,116.0,94.7,4.5,4.1,8.6,0.098,0.09,0.188,0.353,0.3,5.0,11.4,2.4,6.1,2.5,3.8,0,0,1,0,0,0,1,0
Cleanthony Early,2014,34,23.17,79.25,209,82.75,21.6,7.8,1.0,1.1,1.0,3.0,2.6,36.0,36.0,40.0,11.15,2.96,3.18,101.5,0.484,0.373,0.459,0.464,0.844,0.57,0.627,28.8,0.22,0.39,26.5,121.3,91.4,6.4,2.6,9.0,0.146,0.101,0.247,0.379,-2.2,6.8,14.1,2.4,6.5,5.5,6.5,1,0,0,0,0,0,1,0
Jarnell Stokes,2014,35,20.44,80.5,263,85.25,16.8,11.8,2.3,0.8,1.0,2.2,2.3,37.0,36.0,36.0,11.92,3.2,3.26,103.5,0.531,,0.0,0.613,0.696,0.531,0.576,24.6,0.56,0.97,27.6,121.9,95.4,7.1,2.4,9.5,0.14,0.087,0.227,0.317,-0.2,6.0,11.3,0.0,0.0,4.8,6.9,0,0,1,0,0,1,0,0
Johnny O'Bryant,2014,36,21.04,80.5,257,86.25,18.5,9.2,1.9,0.6,1.1,3.8,3.8,34.0,36.0,35.5,11.57,3.32,3.45,105.0,0.494,0.333,0.007,0.455,0.634,0.495,0.526,28.5,0.4,0.51,18.7,101.1,102.7,1.1,0.2,1.3,0.047,0.059,0.106,0.309,,7.1,14.4,0.0,0.1,4.2,6.6,1,0,0,0,0,1,0,0
DeAndre Daniels,2014,37,22.17,80.5,196,86.0,16.2,7.4,0.6,0.8,1.8,2.9,1.8,38.0,36.0,32.0,11.46,3.04,3.44,106.5,0.469,0.417,0.299,0.222,0.787,0.531,0.559,24.2,0.15,0.3,20.0,110.0,95.6,3.1,2.5,5.6,0.076,0.087,0.16,0.36,,6.1,13.1,1.6,3.9,2.3,2.9,1,0,0,0,0,1,0,0
Spencer Dinwiddie,2014,38,21.2,78.0,205,80.25,17.0,3.5,4.4,1.8,0.3,2.2,2.0,17.0,36.0,,,,,103.0,0.466,0.413,0.481,0.908,0.857,0.565,0.667,21.0,1.25,2.13,24.8,135.3,102.0,6.2,3.9,10.1,0.166,0.06,0.234,0.372,1.1,4.2,8.9,1.8,4.3,6.9,8.1,0,0,1,0,0,1,0,0
Jerami Grant,2014,39,20.27,79.75,214,86.75,13.8,7.8,1.6,0.9,0.6,2.7,1.3,32.0,36.0,,,,,107.0,0.496,0.0,0.019,0.664,0.674,0.496,0.547,21.1,0.45,1.19,21.6,120.4,98.7,4.0,2.4,6.4,0.111,0.076,0.183,0.314,0.5,4.8,9.6,0.0,0.2,4.3,6.4,0,0,1,0,1,0,0,0
Glenn Robinson III,2014,40,20.44,78.75,211,82.0,14.6,4.9,1.3,1.1,0.3,1.7,1.4,37.0,36.0,41.5,11.22,3.04,3.15,100.5,0.488,0.306,0.29,0.308,0.757,0.532,0.566,22.3,0.34,0.96,18.9,116.2,105.9,4.2,1.2,5.3,0.094,0.047,0.141,0.341,-0.7,5.5,11.2,1.0,3.3,2.6,3.5,0,0,1,0,1,0,0,0
Nikola Jokić,2014,41,19.32,84.0,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.4,,,,,,,0,1,0,0,0,0,0,1
Nick Johnson,2014,42,21.48,75.0,198,79.25,17.7,4.4,3.1,1.2,0.7,2.2,1.8,38.0,36.0,41.5,10.8,2.95,3.27,96.5,0.432,0.367,0.357,0.395,0.781,0.498,0.549,26.3,0.67,1.67,21.5,117.0,92.4,5.8,4.9,10.7,0.115,0.099,0.213,0.36,-2.4,5.9,13.6,1.8,4.8,4.2,5.4,0,0,1,0,0,1,0,0
Walter Tavares,2014,43,22.24,87.0,265,,10.3,11.4,0.4,0.9,2.8,4.6,1.4,32.0,36.0,,,,,,0.591,0.0,0.008,0.371,0.714,0.591,0.615,,,0.31,,,,,,,,,,0.319,,4.2,7.1,0.0,0.1,1.9,2.6,0,1,0,0,0,0,0,1
Markel Brown,2014,44,22.38,75.5,184,80.75,17.5,5.4,3.0,1.0,1.0,2.6,1.6,34.0,36.0,43.5,12.62,2.9,3.18,100.0,0.473,0.379,0.361,0.483,0.768,0.541,0.591,23.1,0.73,1.8,22.0,121.7,100.4,6.3,2.7,8.9,0.123,0.067,0.19,0.357,-1.6,5.7,12.0,1.6,4.3,4.5,5.8,0,0,1,0,0,0,1,0
Dwight Powell,2014,45,22.91,83.0,234,84.5,15.6,7.6,3.5,1.4,0.9,3.5,3.2,36.0,36.0,35.0,11.28,2.88,3.2,105.0,0.462,0.256,0.103,0.557,0.687,0.475,0.527,26.0,0.78,1.08,19.7,104.3,99.6,2.7,3.0,5.7,0.062,0.069,0.13,0.318,1.9,5.4,11.7,0.3,1.2,4.5,6.5,0,0,1,0,0,0,1,0
Jordan Clarkson,2014,46,21.95,77.0,186,80.0,17.9,3.9,3.5,1.1,0.2,2.2,2.7,35.0,36.0,38.5,10.76,2.98,3.28,98.0,0.448,0.281,0.244,0.418,0.831,0.482,0.547,27.9,0.84,1.27,20.2,112.7,108.2,3.8,0.5,4.3,0.104,0.039,0.143,0.35,1.5,6.1,13.7,0.9,3.3,4.7,5.7,1,0,0,0,0,1,0,0
Russ Smith,2014,47,23.16,72.75,160,75.5,22.4,4.1,5.7,2.5,0.1,3.1,3.5,37.0,36.0,34.0,11.57,3.01,3.27,95.0,0.468,0.387,0.376,0.451,0.705,0.541,0.576,30.7,1.03,1.64,26.2,116.9,89.8,7.2,4.3,11.5,0.144,0.107,0.247,0.359,-1.2,7.5,16.0,2.3,6.0,5.1,7.2,0,0,1,0,0,0,1,0
Lamar Patterson,2014,48,22.85,77.25,226,83.0,18.9,5.4,4.7,1.6,0.4,2.2,2.9,36.0,36.0,32.5,11.63,3.13,3.45,101.0,0.441,0.388,0.45,0.382,0.754,0.528,0.569,29.1,1.03,1.66,24.2,115.4,97.7,8.1,3.2,11.4,0.123,0.078,0.201,0.368,-1.8,6.2,14.0,2.5,6.3,4.0,5.4,1,0,0,0,0,0,1,0
Cameron Bairstow,2014,49,23.53,81.75,252,84.75,22.3,8.1,1.7,0.6,1.6,2.3,2.2,34.0,36.0,33.5,11.39,3.09,3.37,107.0,0.556,0.333,0.007,0.7,0.735,0.558,0.611,29.9,0.39,0.78,29.0,122.9,99.6,7.2,2.5,9.7,0.161,0.071,0.232,0.323,-2.9,7.6,13.7,0.0,0.1,7.0,9.6,1,0,0,0,0,0,1,0
Alec Brown,2014,50,21.9,85.25,231,85.5,18.2,6.8,1.2,0.6,3.7,2.7,2.6,30.0,36.0,30.0,12.05,2.91,3.48,109.0,0.476,0.42,0.288,0.349,0.727,0.536,0.569,26.2,0.27,0.46,22.7,110.2,95.1,3.0,1.7,4.7,0.084,0.088,0.172,0.353,,6.5,13.7,1.7,4.0,3.5,4.8,1,0,0,0,0,0,1,0
Thanasis Antetokounmpo,2014,51,21.92,78.25,205,84.0,,,,,,,,,,39.5,11.39,3.05,3.18,104.5,,,,,,,,,,,,,,,,,,,,,-1.6,,,,,,,0,1,0,0,0,0,0,1
Vasilije Micić,2014,52,20.42,78.0,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.7,,,,,,,0,1,0,0,0,0,0,1
Alessandro Gentile,2014,53,21.59,79.0,220,,16.6,4.5,3.9,1.2,0.2,3.7,3.3,48.0,36.0,,,,,,0.461,0.355,0.286,0.323,0.707,0.512,0.542,,,1.2,,,,,,,,,,0.343,,6.1,13.3,1.3,3.8,3.0,4.3,0,1,0,0,0,0,0,1
Nemanja Dangubić,2014,54,21.18,80.0,190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,1
Semaj Christon,2014,55,21.62,75.25,186,78.5,17.3,2.7,4.3,1.3,0.2,2.2,2.7,34.0,36.0,36.5,11.55,3.21,3.32,99.0,0.479,0.388,0.117,0.56,0.668,0.501,0.544,26.9,0.94,1.6,19.1,109.9,106.4,3.7,1.5,5.2,0.087,0.043,0.133,0.326,-2.7,6.0,12.6,0.6,1.5,4.7,7.1,0,0,1,0,1,0,0,0
Devyn Marble,2014,56,21.74,78.5,192,81.0,20.3,3.8,4.3,2.2,0.3,2.3,2.1,33.0,36.0,35.0,11.32,3.08,3.28,102.0,0.42,0.349,0.342,0.456,0.714,0.479,0.528,28.4,0.83,2.07,22.6,116.2,100.8,6.0,3.0,9.0,0.121,0.064,0.185,0.352,-1.0,6.6,15.8,1.9,5.4,5.1,7.2,0,0,1,0,0,0,1,0
Louis Labeyrie,2014,57,22.35,82.0,220,,15.4,9.8,0.6,1.0,1.5,4.4,1.2,27.0,36.0,,,,,,0.624,0.458,0.258,0.312,0.724,0.683,0.693,,,0.5,,,,,,,,,,0.346,,6.0,9.6,1.1,2.5,2.2,3.0,0,1,0,0,0,0,0,1
Jordan McRae,2014,58,23.22,77.25,179,84.5,20.9,3.9,2.8,0.8,1.1,2.4,2.3,37.0,36.0,34.5,11.07,3.15,3.39,104.0,0.436,0.351,0.439,0.414,0.788,0.513,0.565,30.4,0.58,1.18,24.0,119.2,100.7,8.1,2.5,10.5,0.145,0.067,0.208,0.371,-1.2,6.7,15.5,2.4,6.8,5.1,6.4,0,0,1,0,0,0,1,0
Xavier Thames,2014,59,23.44,75.5,187,76.0,20.2,3.3,3.7,1.9,0.2,2.3,1.6,36.0,36.0,32.5,11.48,3.02,3.48,96.0,0.411,0.374,0.357,0.514,0.834,0.478,0.557,28.6,0.83,2.27,26.5,124.8,91.6,7.2,5.2,12.4,0.167,0.099,0.266,0.37,,6.0,14.6,2.0,5.2,6.3,7.5,1,0,0,0,0,0,1,0
Cory Jefferson,2014,60,23.47,81.0,218,84.5,16.9,10.2,1.2,0.5,1.6,2.7,1.7,38.0,36.0,37.5,12.63,3.39,3.36,105.0,0.5,0.368,0.103,0.582,0.64,0.519,0.553,24.2,0.31,0.73,23.8,119.9,102.7,4.9,1.4,6.3,0.12,0.058,0.178,0.319,-2.2,6.0,12.0,0.5,1.2,4.5,7.0,0,0,1,0,0,0,1,0
Anthony Bennett,2013,1,20.26,79.0,239,,21.4,10.8,1.3,0.9,1.6,3.0,2.5,35.0,36.0,,,,,,0.533,0.375,0.253,0.467,0.701,0.58,0.609,27.5,0.32,0.52,28.3,117.6,89.6,6.1,2.5,8.6,0.147,0.093,0.24,0.343,-1.2,7.7,14.4,1.4,3.6,4.7,6.7,1,0,0,1,0,0,0,0
Victor Oladipo,2013,2,21.12,76.25,213,81.25,17.3,8.0,2.6,2.8,1.0,3.1,2.9,36.0,36.0,42.0,10.69,3.14,3.25,100.5,0.599,0.441,0.224,0.428,0.746,0.648,0.671,22.2,0.68,0.89,28.9,125.7,87.3,8.9,6.2,15.1,0.165,0.102,0.262,0.347,4.6,6.4,10.7,1.1,2.4,3.4,4.6,0,0,1,0,0,1,0,0
Otto Porter,2013,3,20.04,80.5,198,85.5,16.4,7.6,2.8,1.9,0.9,2.0,1.5,31.0,36.0,36.0,11.25,3.06,3.4,105.5,0.48,0.422,0.291,0.449,0.777,0.541,0.59,24.1,0.77,1.79,27.3,122.3,85.3,8.2,5.4,13.7,0.153,0.109,0.259,0.356,,5.5,11.5,1.4,3.3,4.0,5.2,0,0,1,0,1,0,0,0
Cody Zeller,2013,4,20.7,84.25,230,82.75,20.1,9.8,1.6,1.3,1.5,2.7,2.7,36.0,36.0,37.5,10.82,2.69,3.15,106.0,0.564,0.0,0.006,0.734,0.757,0.564,0.624,26.5,0.36,0.58,29.8,124.5,89.5,7.2,3.8,11.1,0.181,0.094,0.275,0.325,2.6,6.7,12.0,0.0,0.1,6.6,8.8,0,0,1,0,1,0,0,0
Alex Len,2013,5,20.0,85.0,225,87.5,16.2,10.7,1.3,0.3,2.8,3.6,2.2,38.0,36.0,,,,,,0.534,0.125,0.025,0.472,0.686,0.535,0.57,22.8,0.34,0.62,24.5,116.2,93.1,3.6,3.2,6.8,0.12,0.08,0.199,0.316,1.0,6.2,11.6,0.0,0.3,3.8,5.5,0,0,1,0,1,0,0,0
Nerlens Noel,2013,6,19.19,83.75,206,87.75,11.8,10.7,1.8,2.4,5.0,2.9,2.1,24.0,36.0,,,,,110.0,0.59,,0.0,0.627,0.529,0.59,0.583,17.4,0.55,0.84,27.3,112.9,82.3,4.3,7.8,12.1,0.084,0.12,0.204,0.293,0.6,4.6,7.8,0.0,0.0,2.6,4.9,0,0,1,1,0,0,0,0
Ben McLemore,2013,7,20.35,76.75,189,79.75,17.8,5.8,2.2,1.1,0.8,2.1,2.3,37.0,36.0,42.0,11.87,3.11,3.27,100.5,0.495,0.42,0.435,0.345,0.87,0.586,0.633,23.2,0.54,0.95,23.2,121.4,93.7,7.2,3.4,10.5,0.141,0.077,0.218,0.381,0.2,6.0,12.1,2.2,5.3,3.6,4.2,0,0,1,1,0,0,0,0
Kentavious Caldwell-Pope,2013,8,20.33,77.5,204,80.0,19.6,7.5,1.9,2.2,0.6,2.3,2.1,32.0,36.0,34.5,10.6,3.2,3.12,100.5,0.433,0.373,0.523,0.393,0.799,0.53,0.579,29.2,0.58,0.91,27.7,115.7,91.0,8.4,4.1,12.5,0.144,0.088,0.228,0.379,,6.2,14.3,2.8,7.5,4.5,5.6,0,0,1,0,1,0,0,0
Trey Burke,2013,9,20.59,73.25,187,77.5,19.0,3.2,6.8,1.6,0.5,1.9,2.2,39.0,36.0,36.5,11.2,3.01,3.16,97.5,0.462,0.384,0.354,0.296,0.801,0.53,0.569,28.3,1.32,3.02,28.7,123.4,100.0,9.4,3.7,13.1,0.194,0.052,0.25,0.367,0.1,6.8,14.6,2.0,5.2,3.5,4.3,0,0,1,0,1,0,0,0
CJ McCollum,2013,10,21.74,75.25,197,78.25,27.8,5.8,3.4,1.6,0.4,2.0,3.1,12.0,36.0,38.5,11.02,2.91,3.32,96.5,0.495,0.516,0.33,0.376,0.849,0.58,0.628,37.2,0.67,1.09,34.7,118.5,98.1,9.0,0.3,9.3,0.204,0.065,0.258,0.396,2.7,9.3,18.8,3.2,6.2,6.0,7.1,1,0,0,0,0,0,1,0
Michael Carter-Williams,2013,11,21.68,77.75,184,79.25,12.1,5.1,7.4,2.8,0.5,2.4,3.5,40.0,36.0,41.0,10.68,3.7,3.22,101.0,0.393,0.294,0.302,0.472,0.694,0.438,0.491,22.2,1.81,2.11,20.9,104.6,87.9,4.0,5.5,9.4,0.077,0.099,0.173,0.331,,4.0,10.1,0.9,3.0,3.3,4.8,0,0,1,0,1,0,0,0
Steven Adams,2013,12,19.91,84.0,255,88.5,11.1,9.8,1.0,1.0,3.1,2.5,1.7,32.0,36.0,33.0,11.85,3.02,3.4,109.5,0.571,,0.0,0.4,0.443,0.571,0.555,17.7,0.31,0.57,23.2,112.9,87.6,4.0,4.2,8.1,0.085,0.101,0.187,0.282,2.6,4.8,8.4,0.0,0.0,1.5,3.4,1,0,0,1,0,0,0,0
Kelly Olynyk,2013,13,22.16,84.0,234,81.75,24.3,10.0,2.3,0.9,1.5,3.1,3.3,32.0,36.0,29.5,11.42,2.99,3.59,108.0,0.629,0.3,0.088,0.497,0.776,0.642,0.675,30.7,0.49,0.71,36.2,127.1,89.9,10.4,3.6,13.9,0.222,0.09,0.317,0.333,2.1,9.2,14.6,0.4,1.3,5.6,7.2,1,0,0,0,0,1,0,0
Shabazz Muhammad,2013,14,20.59,78.25,222,83.0,20.9,6.1,1.0,0.8,0.1,1.9,1.9,32.0,36.0,37.0,10.99,2.93,3.32,104.5,0.443,0.377,0.232,0.395,0.711,0.487,0.528,29.8,0.19,0.53,21.9,110.1,105.4,5.8,-1.1,4.7,0.118,0.032,0.15,0.346,-0.8,7.4,16.6,1.5,3.9,4.7,6.6,1,0,0,1,0,0,0,0
Giannis Antetokounmpo,2013,15,18.53,81.0,196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.3,,,,,,,0,1,0,0,0,0,0,1
Lucas Nogueira,2013,16,20.89,84.0,220,,14.4,9.1,0.7,1.2,3.0,4.8,1.5,34.0,36.0,,,,,,0.661,,0.0,0.417,0.667,0.661,0.668,,,0.47,,,,,,,,,,0.313,1.4,5.9,9.0,0.0,0.0,2.5,3.7,0,1,0,0,0,0,0,1
Dennis Schröder,2013,17,19.75,74.0,165,79.75,,,,,,,,,,34.0,11.09,2.86,3.21,98.0,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,0,1,0,0,0,0,0,1
Shane Larkin,2013,18,20.71,71.5,171,70.75,14.3,3.8,4.5,1.9,0.1,1.6,2.3,36.0,36.0,44.0,10.64,3.03,3.08,89.5,0.479,0.406,0.445,0.293,0.777,0.569,0.6,21.3,1.23,2.0,22.6,119.2,95.9,5.2,3.8,9.1,0.131,0.07,0.198,0.363,-1.3,5.0,10.5,1.9,4.7,2.4,3.1,0,0,1,0,1,0,0,0
Sergey Karasev,2013,19,19.64,79.0,205,,18.0,3.4,2.6,0.5,0.4,3.3,1.5,11.0,36.0,,,,,,0.442,0.49,0.395,0.357,0.826,0.539,0.587,,,1.73,,,,,,,,,,0.382,-0.5,5.8,13.1,2.5,5.2,3.9,4.7,0,1,0,0,0,0,0,1
Tony Snell,2013,20,21.6,79.25,198,83.5,14.4,3.0,3.3,1.0,0.6,1.5,2.4,35.0,36.0,36.5,11.36,2.84,3.25,105.5,0.422,0.39,0.481,0.299,0.843,0.516,0.562,22.8,0.98,1.4,17.0,107.0,99.5,4.1,2.1,6.2,0.077,0.055,0.132,0.375,-0.9,4.7,11.2,2.1,5.4,2.8,3.4,1,0,0,0,0,1,0,0
Gorgui Dieng,2013,21,23.41,82.75,230,87.5,11.3,10.9,2.3,1.5,2.9,3.0,2.1,33.0,36.0,,,,,111.5,0.534,,0.0,0.479,0.652,0.534,0.562,17.0,0.72,1.12,23.8,115.9,81.9,5.1,6.4,11.5,0.097,0.125,0.218,0.311,1.4,4.4,8.2,0.0,0.0,2.6,3.9,0,0,1,0,0,1,0,0
Mason Plumlee,2013,22,23.28,84.5,238,83.0,17.7,10.3,2.0,1.0,1.5,2.7,3.0,36.0,36.0,36.0,10.89,2.76,3.29,108.0,0.599,,0.0,0.688,0.681,0.599,0.628,24.5,0.47,0.68,26.3,117.2,92.2,5.9,3.6,9.5,0.138,0.083,0.221,0.315,0.8,6.4,10.6,0.0,0.0,5.0,7.3,0,0,1,0,0,0,1,0
Solomon Hill,2013,23,22.25,79.0,226,81.0,14.6,5.8,3.0,1.2,0.6,2.4,2.4,35.0,36.0,37.5,10.77,2.91,3.19,103.0,0.458,0.39,0.423,0.359,0.766,0.541,0.579,21.4,0.79,1.23,20.1,116.3,97.7,5.6,2.7,8.3,0.114,0.062,0.177,0.359,0.0,4.9,10.8,1.8,4.6,3.0,3.9,0,0,1,0,0,0,1,0
Tim Hardaway Jr.,2013,24,20.25,78.25,199,79.0,15.0,4.8,2.5,0.7,0.5,2.0,1.9,38.0,36.0,37.5,10.68,2.93,3.25,101.0,0.437,0.374,0.424,0.241,0.694,0.516,0.538,23.7,0.55,1.31,17.7,108.5,100.7,3.6,1.8,5.5,0.085,0.051,0.136,0.352,0.7,5.5,12.5,2.0,5.3,2.1,3.0,0,0,1,0,0,1,0,0
